SOC,ai_applicability_score
11-1011,0.1780967353849346
11-1021,0.1455044442241774
11-1031,0.2684608021394255
11-2011,0.23428483593454613
11-2021,0.21257552087166948
11-2022,0.15610792434261128
11-2032,0.2405342049771843
11-2033,0.16219154560512314
11-3012,0.0531006080185346
11-3013,0.07169161032919659
11-3021,0.1348347997850357
11-3031,0.16385298816323035
11-3051,0.12564590227970562
11-3061,0.12219533262688267
11-3071,0.20905710143780645
11-3111,0.14880710153698234
11-3121,0.12448485877405666
11-3131,0.1832728782579816
11-9013,0.13357371795032388
11-9021,0.15991070389259485
11-9031,0.13075181883195258
11-9032,0.13373177362883057
11-9033,0.09936466979045501
11-9041,0.1779066129738165
11-9051,0.09383310412109697
11-9071,0.19720465269066945
11-9072,0.30004695909048973
11-9081,0.2279135350672446
11-9111,0.1817839975950698
11-9121,0.13993758962020578
11-9131,0.09869305182362675
11-9141,0.18978827018684957
11-9151,0.16148882563169425
11-9161,0.21572457255936378
11-9171,0.19188399146872315
11-9179,0.15795414440861616
11-9199,0.1627479919969076
13-1011,0.28865293001478715
13-1020,0.20451370771068117
13-1031,0.23735109830791534
13-1032,0.2792839604946442
13-1041,0.23700416414061481
13-1051,0.3343192139843668
13-1071,0.18026391329002361
13-1074,0.10568389102497693
13-1075,0.06968459146889275
13-1081,0.16289502077242451
13-1082,0.2168897891763133
13-1111,0.3440480930355171
13-1121,0.17418380183034707
13-1131,0.1884707062352474
13-1141,0.10646346012120805
13-1151,0.24522942866082442
13-1161,0.3519391336715777
13-1199,0.2486164921152914
13-2011,0.24507413013071216
13-2020,0.26025838313744404
13-2031,0.34908861905646416
13-2041,0.2734285426754466
13-2051,0.3264879527037541
13-2052,0.38614018511735126
13-2053,0.1896921584492886
13-2054,0.3365758929170841
13-2061,0.1639476661471594
13-2071,0.31186264272314956
13-2072,0.24896763353397286
13-2081,0.32792412765933915
13-2082,0.3240713545063902
13-2099,0.28287367870653934
15-1211,0.32336833827533773
15-1212,0.25404281380085847
15-1221,0.11378640133347621
15-1231,0.3182266261779645
15-1232,0.30247124938308234
15-1241,0.24684495051855365
15-1242,0.3131828862047466
15-1243,0.30618165812195375
15-1244,0.2781875726756125
15-1251,0.2608303869961717
15-1252,0.26522357307286326
15-1253,0.28521767549690746
15-1254,0.33605488207651557
15-1255,0.2769719793234962
15-1299,0.28573034782687357
15-2011,0.15659035603928273
15-2021,0.37895685321040146
15-2031,0.30062833532523964
15-2041,0.3415330246756533
15-2051,0.36680118712997845
15-2099,0.35879037201507624
17-1011,0.18240482813580688
17-1012,0.2354080965759234
17-1021,0.19954211737996813
17-1022,0.22952734568027916
17-2011,0.19823063228423732
17-2021,0.13448381325136205
17-2031,0.29748977543689636
17-2041,0.2021904588374694
17-2051,0.2129108946551491
17-2061,0.32346321637421005
17-2071,0.0913050046340109
17-2072,0.2644230565282357
17-2081,0.2002934235904833
17-2111,0.2779448537159538
17-2112,0.2649478265690881
17-2121,0.2301767079041367
17-2131,0.1849146811316406
17-2141,0.24225883318678523
17-2151,0.26125106222252775
17-2161,0.22706683204173006
17-2171,0.20576736313974714
17-2199,0.22235808000635693
17-3011,0.22772765566413775
17-3012,0.3089951439551917
17-3013,0.18757339215886662
17-3021,0.23134268468438235
17-3022,0.1925712638069913
17-3023,0.2092291974071346
17-3024,0.2437557533043478
17-3025,0.2034617587258075
17-3026,0.19742930470171316
17-3027,0.22143545298077522
17-3028,0.3018439698617302
17-3029,0.2368317926696905
17-3031,0.26299802845344866
19-1011,0.34872599473954
19-1012,0.27036128021003836
19-1013,0.2593177269906488
19-1021,0.3133525913476962
19-1022,0.21985198875543563
19-1023,0.23272247784954414
19-1029,0.2692750099878254
19-1031,0.1717086002232966
19-1032,0.08929335127837695
19-1041,0.21753666777998495
