SOC,coverage_user
11-1011,0.3808226799249311
11-1021,0.2994923371432988
11-1031,0.5666666666666667
11-2011,0.5489079032026092
11-2021,0.5255136140358057
11-2022,0.2990386298124622
11-2032,0.5
11-2033,0.31818181818181823
11-3012,0.08067672582964833
11-3013,0.15069868617361473
11-3021,0.26675153296152093
11-3031,0.3662066237196965
11-3051,0.24184857697894413
11-3061,0.2740908592031467
11-3071,0.4283309998976057
11-3111,0.36182137534654013
11-3121,0.22947397588030474
11-3131,0.34139167593500713
11-9013,0.3235349736106241
11-9021,0.3666021955255877
11-9031,0.28140307019203803
11-9032,0.2657662011943341
11-9033,0.19830612907694464
11-9041,0.3508912515837379
11-9051,0.2068940317805267
11-9071,0.3898219902804061
11-9072,0.5454545454545454
11-9081,0.4470362205201658
11-9111,0.3581436632612012
11-9121,0.30982234086859567
11-9131,0.13075800382072375
11-9141,0.4662333133426454
11-9151,0.42382048006658546
11-9161,0.4486113845425286
11-9171,0.40315886037362275
11-9179,0.315062332119849
11-9199,0.34388384038814934
13-1011,0.5678792215441082
13-1020,0.46911666510084554
13-1031,0.6169244456849676
13-1032,0.6494306798033666
13-1041,0.5731782650548843
13-1051,0.7325668672202016
13-1071,0.2848419767413778
13-1074,0.1545655660225519
13-1075,0.16600417861692074
13-1081,0.3021932690076888
13-1082,0.4545454545454546
13-1111,0.5900748801854055
13-1121,0.385590938208172
13-1131,0.5280385844431392
13-1141,0.18093545029783759
13-1151,0.49716873074655976
13-1161,0.7361981840825571
13-1199,0.5799911913097598
13-2011,0.5858296905974512
13-2020,0.5791992688040865
13-2031,0.8368434403888272
13-2041,0.7682887136001582
13-2051,0.7419354838709675
13-2052,0.747381866042325
13-2053,0.5076357013201134
13-2054,0.823529411764706
13-2061,0.33492195561975807
13-2071,0.6299175408886024
13-2072,0.5203317179409382
13-2081,0.5551240012932565
13-2082,0.7535577559754802
13-2099,0.6810529780399414
15-1211,0.7877939450848583
15-1212,0.6082075802718604
15-1221,0.38515910311559315
15-1231,0.7367116325599083
15-1232,0.7400189039358054
15-1241,0.5938837794501728
15-1242,0.6900497891282189
15-1243,0.7254190411223168
15-1244,0.6640714617748751
15-1251,0.6838642842285202
15-1252,0.6250000000000001
15-1253,0.5579700897992701
15-1254,0.793642565247918
15-1255,0.7989178997557083
15-1299,0.6590291330928602
15-2011,0.33405709060033884
15-2021,1.0
15-2031,0.8273495145736006
15-2041,0.881983245532524
15-2051,0.7703917101865155
15-2099,0.788404537459521
17-1011,0.5245212259189758
17-1012,0.6200755146750884
17-1021,0.7957258632145945
17-1022,0.6497011723081861
17-2011,0.5115160004112206
17-2021,0.35586740501069847
17-2031,0.7324116247035833
17-2041,0.4826003362640944
17-2051,0.44188818292464555
17-2061,0.6397086399069138
17-2071,0.3012268599153756
17-2072,0.5820237801349115
17-2081,0.36348669810343115
17-2111,0.5951527378332294
17-2112,0.6051134747525874
17-2121,0.610946909214416
17-2131,0.37545008177263833
17-2141,0.5538435260577982
17-2151,0.523219815477923
17-2161,0.49164901118903054
17-2171,0.45183612266520307
17-2199,0.5333324438688908
17-3011,0.8154588363119304
17-3012,0.9413294384380528
17-3013,0.8244380362350536
17-3021,0.6026595427959845
17-3022,0.6169511945298493
17-3023,0.569738920178548
17-3024,0.5815092869715062
17-3025,0.4875246511037693
17-3026,0.5371269551165043
17-3027,0.5501084972135132
17-3028,0.7222222222222224
17-3029,0.6108470303813509
17-3031,0.8798705345753807
19-1011,0.8594301354103274
19-1012,0.7275406682384502
19-1013,0.6654359920492889
19-1021,0.8398528102604913
19-1022,0.5983684024435163
19-1023,0.4648486790972388
19-1029,0.6746172748566367
19-1031,0.34901884989440624
19-1032,0.2111310304084483
19-1041,0.48238567755698
19-1042,0.634362986339733
19-2011,0.5553378673188912
19-2012,0.6112403262372589
19-2021,0.6826840243947132
19-2031,0.546959778132054
19-2032,0.6536298435341732
19-2041,0.41330823326185984
19-2042,0.5020510697480232
19-2043,0.5484944070364053
19-2099,0.4259220996927381
19-3011,0.6999246328481099
19-3022,0.39665382677830907
19-3032,0.5056070826724071
19-3033,0.286835828875185
19-3034,0.3767664110579424
19-3039,0.3212162591922246
19-3041,0.656198063167666
19-3051,0.5297107481736256
19-3091,0.5175945985629987
19-3092,0.792583157901186
19-3093,0.9503115863810574
19-3094,0.8567146991769343
19-3099,0.8730888602993028
19-4012,0.4174796773925557
19-4013,0.38911902727033143
19-4021,0.31730848831477476
19-4031,0.4298081194648449
19-4042,0.3271936908663029
19-4043,0.36549132247264726
19-4044,0.55
19-4051,0.5559842980126548
19-4061,0.5391364513633049
19-4071,0.20660748280944868
19-4092,0.6148928025342779
19-4099,0.5285349099950166
19-5011,0.45186088665827107
19-5012,0.41726990076187154
21-1012,0.6548438212304243
21-1013,0.29620689809913886
21-1015,0.5280750053370284
21-1018,0.28376094117255934
21-1021,0.6351724855000737
21-1022,0.29541785730747167
21-1023,0.21720363873637868
21-1091,0.3658935435241014
21-1092,0.5989402972909869
21-1093,0.42335292628450544
21-1094,0.6380245525994188
21-2011,0.5421267719087899
21-2021,0.5901638975459359
23-1011,0.522530496870545
23-1012,0.47718018929607786
23-1021,0.4618452850919781
23-1022,0.3943655089828055
23-1023,0.2727004854115989
23-2011,0.736193036355767
23-2093,0.8569191882799648
25-1011,0.7280394735202018
25-1021,0.6952409825814341
25-1022,0.6107508856773475
25-1031,0.6674681021963422
25-1032,0.6614956000145232
25-1041,0.6652626995150687
25-1042,0.6238350005648645
25-1043,0.6513891076671326
25-1051,0.6163025672534962
25-1052,0.5139216098774952
25-1053,0.6279100572337776
25-1054,0.6194625373781254
25-1061,0.6763524281277382
25-1062,0.6760217226365428
25-1063,0.703019391570629
25-1064,0.6425420916092748
25-1065,0.679109768740545
25-1066,0.6273057438027221
25-1067,0.665559238945441
25-1071,0.6397157668275303
25-1072,0.6200184027734131
25-1081,0.6522769608759343
25-1082,0.6834020149750468
25-1111,0.6742122414274527
25-1112,0.6697379590041264
25-1113,0.6696000901512621
25-1121,0.6983905573756767
25-1122,0.6629621436065378
25-1123,0.6628238423526774
25-1124,0.6683227255901389
25-1125,0.7116737032968962
25-1126,0.6820023365690648
25-1192,0.6693441872131698
25-1193,0.6423543000286187
25-1194,0.48484716035311004
25-2011,0.3449440758631436
25-2012,0.44011857355075895
25-2021,0.4341112101129428
25-2022,0.4265737765160554
25-2023,0.4283840551518004
25-2031,0.42076803488780967
25-2032,0.4482172677273847
25-2051,0.30876972433936273
25-2052,0.3088235294117647
25-2057,0.2999311605571077
25-2058,0.3770666154435929
25-2059,0.3900467497764895
25-3011,0.3957324376631209
25-3021,0.48574895417444575
25-3031,0.5
25-3041,0.639661604981654
25-4011,0.7126253782397198
25-4012,0.6171259527474925
25-4013,0.6727808702003891
25-4022,0.4482854319261464
25-4031,0.5962085774255853
25-9021,0.6821780679084305
25-9031,0.6262429243769119
25-9044,0.4324862314456638
25-9045,0.43731641603520754
27-1011,0.6335927398400583
27-1012,0.8135324470287424
27-1013,0.7484442475504169
27-1014,0.8775834889223544
27-1021,0.684235588415786
27-1022,0.8012453187548257
27-1023,0.5610974289168773
27-1024,0.7990122226631535
27-1025,0.5538166056379522
27-1026,0.7031543342314992
27-1027,0.6745602690870773
27-2011,0.38318123500004103
27-2012,0.3671768943095203
27-2021,0.7671056102527056
27-2022,0.13113010880966708
27-2023,0.23476986428908453
27-2031,0.39148749802701704
27-2032,0.5000105548149989
27-2041,0.6338841973075536
27-2042,0.2781648535426189
27-2091,0.55
27-3011,0.7069500305642564
27-3023,0.8013773492231688
27-3031,0.7080523646177055
27-3041,0.7898912447402779
27-3042,0.8167316982638744
27-3043,0.8563349004531903
27-3091,0.9385861879108185
27-3092,0.6037788871867751
27-4011,0.41816365102248354
27-4012,0.12323032955607147
27-4014,0.2248991745867015
27-4015,0.631578947368421
27-4021,0.729805627795963
27-4031,0.4900536452167417
27-4032,0.3053537763872758
29-1011,0.3194263686805607
29-1021,0.13863439789606896
29-1022,0.10563433665878817
29-1023,0.37662772653526766
29-1024,0.09889414146784292
29-1031,0.5712823567581148
29-1041,0.1605125041604678
29-1051,0.6203831286566667
29-1071,0.13358688073018388
29-1081,0.3512071177482638
29-1122,0.27985706810324723
29-1123,0.3690547390570627
29-1124,0.31664831798244764
29-1125,0.21872980488879767
29-1126,0.09434053571677048
29-1127,0.3843058992434093
29-1128,0.2290756399801906
29-1129,0.3008638061773278
29-1131,0.3443065625127416
29-1141,0.2805704447954251
29-1151,0.21809557547904426
29-1161,0.29533132111003163
29-1171,0.3343935704430383
29-1181,0.30864278644596166
29-1211,0.07025896383149267
29-1212,0.3125
29-1213,0.2326674495233692
29-1214,0.2272727272727273
29-1215,0.36414961219473163
29-1216,0.3614636601020631
29-1217,0.3245054731993614
29-1218,0.35087591544453145
29-1221,0.27766290096912377
29-1222,0.47406405087137304
29-1223,0.40700845100633154
29-1224,0.34969668235648393
29-1229,0.2542020455615476
29-1241,0.20721736321512677
29-1242,0.31818181818181823
29-1243,0.3636363636363637
29-1291,0.1596130324239688
29-1292,0.1309651671465592
29-1299,0.3100552614004067
29-2010,0.3578923055474416
29-2031,0.2648067026114147
29-2032,0.2588828139910466
29-2033,0.23532744801834157
29-2034,0.32936356247905224
29-2035,0.19918684792792457
29-2036,0.3743337430873332
29-2042,0.2
29-2043,0.1764705882352941
29-2051,0.29369323958770416
29-2052,0.6151510882653619
29-2053,0.13394744998259753
29-2055,0.09565547741845899
29-2056,0.19080359374702213
29-2057,0.00612160307297198
29-2061,0.12685082612524953
29-2072,0.7894736842105263
29-2081,0.3330441284282808
29-2091,0.13839225544919823
29-2092,0.14094258124798856
29-2099,0.20967798607403001
29-9021,0.619047619047619
29-9091,0.37764440303323893
29-9092,0.6619398800782004
29-9093,0.05793009872901016
29-9099,0.319364614959641
31-1120,0.11299302278111478
31-1131,0.06490158131077096
31-1132,0.0
31-1133,0.17723198422269598
31-2011,0.21077071661639923
31-2012,0.20200145301605715
31-2021,0.2027623987035367
31-2022,0.14611625504314155
31-9011,0.0
31-9091,0.12933285279894485
31-9092,0.2277688895900163
31-9093,0.03812225328451903
31-9094,0.8387410595237555
31-9095,0.29147924755477617
31-9096,0.139919392819225
31-9097,0.03374044358433395
31-9099,0.17574665697573083
33-1011,0.30477751498277206
33-1012,0.17870415266374345
33-1021,0.14755482825049743
33-1091,0.303030303030303
33-2011,0.26700942853664095
33-2021,0.355803606882119
33-2022,0.12700796800040884
33-3011,0.6508977822064577
33-3012,0.36557274060827594
33-3021,0.5496400832937277
33-3031,0.3011184028577418
33-3041,0.2715169984744357
33-3051,0.44324295508914324
33-3052,0.3054292288193201
33-9011,0.5248698787002863
33-9021,0.5960980194542631
33-9031,0.46523355255964316
33-9032,0.40926018246657303
33-9091,0.28379775786501815
33-9092,0.15069097255459016
33-9093,0.6833750390436386
33-9094,0.3
33-9099,0.18605701820691234
35-1011,0.43970536395194776
35-1012,0.26714961744318416
35-2011,0.6554806815600426
35-2012,0.33537399632653797
35-2013,0.8185213291516832
35-2014,0.6035589088171842
35-2015,0.48677515901469315
35-2021,0.4328887402098668
35-3011,0.5242745900048065
35-3023,0.45092150242217277
35-3031,0.584268394844587
35-3041,0.2962038455437211
35-9011,0.13704074426795773
35-9021,0.0579383175826811
35-9031,0.634515447665513
37-1011,0.3023257481713492
37-1012,0.24250895530600297
37-2011,0.3248204514380786
37-2012,0.08504201384543553
37-2021,0.5419125937005458
37-3011,0.2120617156534464
37-3012,0.5577599572915526
37-3013,0.09238788443269584
39-1013,0.5991733633756513
39-1014,0.4782608695652174
39-1022,0.5585318231815753
39-2011,0.21123507213994794
39-2021,0.7125741888035461
39-3011,0.7063813546863766
39-3012,0.7414342323595996
39-3021,0.15336507933404142
39-3031,0.4102519949041902
39-3091,0.47069706925222626
39-3092,0.3431788621985793
39-3093,0.36701913548206566
39-4011,0.12311117961767117
39-4012,0.23076923076923078
39-4021,0.2952523048781582
39-4031,0.14518370671993464
39-5011,0.178007820519795
39-5012,0.2871014545865698
39-5091,0.37113754898917384
39-5092,0.11937440696886237
39-5093,0.19634601569171878
39-5094,0.18734979062684867
39-6011,0.27888468994371596
39-6012,0.3026136766759682
39-7010,0.45989383330822736
39-9011,0.2120063650620757
39-9031,0.14794697390889378
39-9032,0.3889150633594178
39-9041,0.37869763915005283
41-1011,0.3762036850380747
41-1012,0.5515460590557617
41-2011,0.621472254275252
41-2012,0.5590086580776652
41-2021,0.7653401265365887
41-2022,0.6717126098856073
41-2031,0.6195199667566756
41-3011,0.8751318093505711
41-3021,0.6283635554645473
41-3031,0.6109245521865947
41-3041,0.6016559286774859
41-3091,0.8421052631578948
41-4011,0.7156876657108495
41-4012,0.7193380123447654
41-9011,0.6916458945062613
41-9012,0.9474367379196413
41-9021,0.5732197015662487
41-9022,0.6503927551587909
41-9031,0.6695208020373646
41-9041,0.7092841196253198
41-9091,0.703402872419423
43-1011,0.44588397064908863
43-2011,0.5341964521011684
43-2021,0.5468881297258639
43-3011,0.48111007179509485
43-3021,0.6283561086443907
43-3031,0.7295821346510163
43-3041,0.6075885351499639
43-3051,0.6210809319240889
43-3061,0.6632300239797161
43-3071,0.7529879335724917
43-4011,0.7963721478557901
43-4021,0.7336683715205143
43-4031,0.6793622226529591
43-4041,0.5493596017314413
43-4051,0.7671279860532495
43-4061,0.6364156153444659
43-4071,0.7925535825972533
43-4081,0.3778409736569758
43-4111,0.48885166388440526
43-4121,0.5132368032102144
43-4131,0.7152058254618338
43-4141,0.7181546228585503
43-4151,0.6360861302074985
43-4161,0.37520909970345784
43-4171,0.6135562624076059
43-4181,0.5321091875046026
43-5011,0.44697253673200177
43-5021,0.4441946234116754
43-5031,0.5774041110316862
43-5032,0.42822553934555535
43-5041,0.563385053252617
43-5051,0.6292386734828067
43-5052,0.4101760335528189
43-5053,0.3836320709220268
43-5061,0.5815983077724216
43-5071,0.4742210296987685
43-5111,0.28238666583030625
43-6011,0.5381851352898028
43-6012,0.6456372314815025
43-6013,0.5401883742238108
43-6014,0.5607316719371488
43-9021,0.8404404722454716
43-9022,0.8481848040010662
43-9031,0.8145298362214896
43-9041,0.6931541512042049
43-9051,0.3993166122815971
43-9061,0.7115614327592652
43-9071,0.6751515162425193
43-9081,0.911083412710096
43-9111,0.7987220834683538
45-1011,0.12891701388659585
45-2011,0.05495766180392386
45-2021,0.5418169403864029
45-2041,0.3539503658484523
45-2091,0.46303978615398744
45-2092,0.18889950953876064
45-2093,0.5289570251192638
45-3031,0.38084350261093225
45-4011,0.1504992479940942
45-4021,0.22453577246806705
45-4022,0.1759177342465498
45-4023,0.22072660176687908
47-1011,0.28970931236121095
47-2011,0.1751686433015458
47-2021,0.3171164672660417
47-2022,0.13429866405849583
47-2031,0.2804827781499494
47-2041,0.2854959950428482
47-2042,0.2366865118124086
47-2043,0.14542535989937458
47-2044,0.23917948396024483
47-2051,0.19552101976358638
47-2053,0.3569128078178321
47-2061,0.23670098465340972
47-2071,0.0692293621334349
47-2072,0.12530658859543506
47-2073,0.38952562838929206
47-2081,0.14462951444303135
47-2082,0.2890470342343173
47-2111,0.4597703685543671
47-2121,0.15027731646914969
47-2131,0.293086134780746
47-2132,0.46037449229298844
47-2141,0.34226944983659624
47-2142,0.37730129777161225
47-2151,0.17584658907849937
47-2152,0.28908413634731234
47-2161,0.39761429036742574
47-2171,0.21396492867018974
47-2181,0.19753107881556198
47-2211,0.23182058581725956
47-2221,0.07284407738730259
47-2231,0.44398907516246716
47-3011,0.26260083293418807
47-3012,0.1609359010545192
47-3013,0.2891266920920868
47-3014,0.08304693935572924
47-3015,0.21512927091001194
47-3016,0.13840706870092945
47-4011,0.39865876677134665
47-4021,0.28864376406052417
47-4031,0.19303563496760123
47-4041,0.11800288292458531
47-4051,0.17363805622676673
47-4061,0.2204432853435004
47-4071,0.3647080005566499
47-4090,0.20417651213049953
47-5011,0.3041135171728917
47-5012,0.36313052528272405
47-5013,0.2743808937545074
47-5022,0.28891669244905954
47-5023,0.2600408304290157
47-5032,0.22909383592128763
47-5041,0.3327904186153764
47-5043,0.26034877692820535
47-5044,0.24958451616505753
47-5051,0.11682828370942368
47-5071,0.18212607468875122
47-5081,0.1936123885800625
49-1011,0.3609664289493031
49-2011,0.4870118508095519
49-2021,0.38561080492914407
49-2022,0.6047726184563273
49-2091,0.4335247412949869
49-2092,0.3772976963980395
49-2093,0.35457819142878166
49-2094,0.5482147529795317
49-2095,0.5050889462048473
49-2096,0.25672135166807214
49-2097,0.2675916079027868
49-2098,0.4518176582378005
49-3011,0.1875232294611841
49-3021,0.243893709900591
49-3022,0.1686959280283822
49-3023,0.3275845715495917
49-3031,0.35962156544760726
49-3041,0.3761368750069035
49-3042,0.32342343711966626
49-3043,0.17463270048875956
49-3051,0.24075546724824332
49-3052,0.18381025474863738
49-3053,0.23987559374258116
49-3091,0.36291420175267536
49-3092,0.3840671598629003
49-3093,0.08755286473004084
49-9011,0.31426975113648775
49-9012,0.48231131983289355
49-9021,0.2929649211014228
49-9031,0.3356771095342796
49-9041,0.44518934062377624
49-9043,0.4068313652086967
49-9044,0.34108747980319387
49-9045,0.31764213765970734
49-9051,0.3280794717213022
49-9052,0.5061696618762606
49-9061,0.6032398658932094
49-9062,0.4660675485854506
49-9063,0.5148535337754221
49-9064,0.3611900302808624
49-9071,0.3232778110587279
49-9081,0.48586005603402116
49-9091,0.4040052080978581
49-9092,0.3315815842343273
49-9094,0.12991826361082107
49-9095,0.3523295750283324
49-9096,0.41592930002223677
49-9097,0.35754825745658
49-9098,0.35487529204827906
49-9099,0.3718872425029727
51-1011,0.4945796260263367
51-2011,0.19820678119663168
51-2021,0.26514283160436025
51-2028,0.277348777084046
51-2031,0.3422714606890482
51-2041,0.14905980394895305
51-2051,0.21173498716275552
51-2061,0.1499339813916693
51-2090,0.3110945012238505
51-3011,0.4051388292626439
51-3021,0.6074278122892711
51-3022,0.6791886169743566
51-3023,0.34555211898303434
51-3091,0.22606742745224506
51-3092,0.19229872208224408
51-3093,0.27340714344382977
51-4021,0.44712674645054595
51-4022,0.37431915119450876
51-4023,0.2826320747844861
51-4031,0.33821732647498526
51-4032,0.31511049966006305
51-4033,0.3771814539238069
51-4034,0.4756461947493099
51-4035,0.4032382895504023
51-4041,0.4744578458298897
51-4051,0.19327570572518482
51-4052,0.22061202827137952
51-4061,0.16292870804635168
51-4062,0.46574706685646383
51-4071,0.06999184931381999
51-4072,0.2914795394638456
51-4081,0.47364929909646375
51-4111,0.2900841542619803
51-4121,0.24034558034964298
51-4122,0.3039371369413334
51-4191,0.3338524494778921
51-4192,0.3602981267307583
51-4193,0.3253158308537443
51-4194,0.3608967290182393
51-5111,0.4105835999872457
51-5112,0.3410747701733015
51-5113,0.13711251658714052
51-6011,0.30078182718461083
51-6021,0.18791957810985646
51-6031,0.2289419583801588
51-6041,0.2547581675997398
51-6042,0.1984856299981157
51-6051,0.3055298133076908
51-6052,0.18405909774113474
51-6061,0.3396308575152553
51-6062,0.3541940554237563
51-6063,0.24793911160360452
51-6064,0.17270720426249983
51-6091,0.19586301982468465
51-6092,0.41987280143422845
51-6093,0.26051155089395794
51-7011,0.41944862016095813
51-7021,0.3348983846360186
51-7031,0.41999017401092115
51-7032,0.4475701812169229
51-7041,0.5395285851361711
51-7042,0.42616502693675523
51-8011,0.2467242527785404
51-8012,0.3155885161629043
51-8013,0.24143617101213863
51-8021,0.3363719569205522
51-8031,0.13386918849739413
51-8091,0.11464776387540475
51-8092,0.2388990636742728
51-8093,0.2335101098006851
51-8099,0.12444052330914954
51-9011,0.27234328099338717
51-9012,0.37071889213412423
51-9021,0.2576996249276048
51-9022,0.3845683731026994
51-9023,0.3151739535909408
51-9031,0.31689785996804104
51-9032,0.32945700360201424
51-9041,0.2861164479837203
51-9051,0.40214601817228446
51-9061,0.26832497059816685
51-9071,0.40933560738632363
51-9081,0.11784599000634505
51-9082,0.1338984868123879
51-9083,0.22093174262625198
51-9111,0.2260339554068358
51-9123,0.46350717112053946
51-9124,0.29536887971075804
51-9141,0.3258373837349462
51-9151,0.36831328596994045
51-9161,0.5123696769097015
51-9162,0.9821732237776568
51-9191,0.4117958144448558
51-9192,0.3118361561521197
51-9193,0.4204399184224028
51-9194,0.3345055899372925
51-9195,0.3992491850945347
51-9196,0.263496159672448
51-9197,0.1570654491277515
51-9198,0.12041058976229044
53-1041,0.42862000362513697
53-1047,0.3493523906141383
53-2011,0.22459861971090922
53-2012,0.36317768643060283
53-2021,0.32647371399142744
53-2022,0.5771791701783685
53-2031,0.40618989572282893
53-3011,0.08572882815620912
53-3031,0.11116545908259068
53-3032,0.3606835126434706
53-3033,0.3532542733079075
53-3051,0.2631578947368421
53-3052,0.29461649007012347
53-3053,0.17857142857142855
53-3054,0.2941176470588235
53-4011,0.25768417185220555
53-4013,0.38830465634283573
53-4022,0.06502539708985267
53-4031,0.3343977409454232
53-4041,0.18724633721056133
53-5011,0.18939919326813726
53-5021,0.2460642998959159
53-5022,0.02511075629250893
53-5031,0.07013542658146177
53-6011,0.0
53-6021,0.0709760563584992
53-6031,0.16691678228730394
53-6032,0.2857142857142857
53-6041,0.3259629914927144
53-6051,0.2437906220550882
53-6061,0.38932202947194605
53-7011,0.1707096842794408
53-7021,0.24062392564446045
53-7031,0.08688731976967108
53-7041,0.2573574610593381
53-7051,0.261755355161913
53-7061,0.1774871099831538
53-7062,0.36613946769043465
53-7063,0.09201384915951133
53-7064,0.2873145632681456
53-7065,0.22950594654770223
53-7071,0.029868625593128077
53-7072,0.4020932313381256
53-7073,0.2987865738403118
53-7081,0.10729000375883643
53-7121,0.33861839103940083
