IWA,activity_share_ai
4.A.1.a.1.I01,0.0019200174776207411
4.A.1.a.1.I02,0.002982985253983512
4.A.1.a.1.I03,1.6665359579640274e-05
4.A.1.a.1.I04,0.0053201502195696715
4.A.1.a.1.I05,0.00035510753591687263
4.A.1.a.1.I06,0.00021715327083532803
4.A.1.a.1.I07,0.0037781765430576026
4.A.1.a.1.I08,0.00014034068912117235
4.A.1.a.1.I09,7.323757029662212e-05
4.A.1.a.1.I10,6.361156859156811e-05
4.A.1.a.1.I11,0.0005914101975195036
4.A.1.a.1.I12,0.00024291589953105906
4.A.1.a.1.I13,5.4788731167052676e-05
4.A.1.a.1.I14,0.0001717885805408297
4.A.1.a.1.I15,0.0006987002575583642
4.A.1.a.1.I16,0.00024381841200129173
4.A.1.a.1.I17,7.322799456749499e-05
4.A.1.a.1.I18,0.0031142541367228617
4.A.1.a.1.I19,0.00048656833222748087
4.A.1.a.1.I20,0.00024182147348957017
4.A.1.a.1.I21,1.5249348634964955e-05
4.A.1.a.1.I22,0.00011739405022284419
4.A.1.a.1.I23,0.0001486811491909083
4.A.1.a.2.I01,4.7210738529064974e-05
4.A.1.a.2.I02,1.895276187488502e-05
4.A.1.a.2.I03,4.545239526809453e-05
4.A.1.a.2.I04,2.6048377158093197e-05
4.A.1.a.2.I05,2.5488197004155713e-05
4.A.1.a.2.I06,8.169293911588368e-05
4.A.1.a.2.I07,3.267717564635348e-06
4.A.1.a.2.I08,0.002084954224982389
4.A.1.a.2.I09,5.032285049538436e-05
4.A.1.a.2.I10,1.2417326745614321e-05
4.A.1.a.2.I11,0.00010325987504247698
4.A.1.b.1.I01,4.3258356331839366e-05
4.A.1.b.1.I02,0.0005923806106144562
4.A.1.b.2.I01,0.0
4.A.1.b.2.I02,5.0914151768985035e-05
4.A.1.b.2.I03,3.70341323992006e-05
4.A.1.b.2.I04,1.982415322545444e-05
4.A.1.b.2.I05,8.889747831791305e-05
4.A.1.b.2.I06,5.3808415897662064e-05
4.A.1.b.2.I07,0.0
4.A.1.b.2.I08,4.1951269305985226e-05
4.A.1.b.2.I09,1.633858782317674e-05
