SOC,scope_moderate_or_higher_user
11-1011,0.6565931068304554
11-1021,0.6344294106337707
11-1031,0.6464919744642194
11-2011,0.6387218185732634
11-2021,0.6467043025433169
11-2022,0.658236081693705
11-2032,0.6546927709815695
11-2033,0.6597190609837031
11-3012,0.6375823452682061
11-3013,0.6434223681653601
11-3021,0.6596844393193911
11-3031,0.620795474513337
11-3051,0.6285265692690002
11-3061,0.6628898505603439
11-3071,0.671715143695623
11-3111,0.6631391615084202
11-3121,0.6390881874920709
11-3131,0.6380045052698966
11-9013,0.7521178262212133
11-9021,0.7214137645934522
11-9031,0.6411454512011746
11-9032,0.6773469669604539
11-9033,0.6549562374792992
11-9041,0.6779159625963759
11-9051,0.6542299734711339
11-9071,0.644344698109397
11-9072,0.7005578615781335
11-9081,0.6803883719560173
11-9111,0.690482982578215
11-9121,0.648506686061621
11-9131,0.6751315435635747
11-9141,0.6795671872153315
11-9151,0.6571431508212229
11-9161,0.644126004202125
11-9171,0.6719585714170235
11-9179,0.6925528930856659
11-9199,0.6363150690145097
13-1011,0.717345224103846
13-1020,0.66254838750929
13-1031,0.6586422481898626
13-1032,0.648818188550224
13-1041,0.6176553040989031
13-1051,0.685125340623923
13-1071,0.6338458422562145
13-1074,0.6752656332673344
13-1075,0.6318318020990324
13-1081,0.6875526073494815
13-1082,0.6593622402674054
13-1111,0.7124873895712813
13-1121,0.6085738209913447
13-1131,0.6339484739382404
13-1141,0.6440377810339103
13-1151,0.6749692453597251
13-1161,0.6853084212085394
13-1199,0.6558669565074176
13-2011,0.6085441888456647
13-2020,0.6344573903735393
13-2031,0.6383909820056913
13-2041,0.6348042213307422
13-2051,0.6503536293755403
13-2052,0.7271873040929301
13-2053,0.4939578051498163
13-2054,0.664661531632326
13-2061,0.683061852688241
13-2071,0.7059776079411015
13-2072,0.654475107805552
13-2081,0.6907291854383448
13-2082,0.666724982734973
13-2099,0.6425195520893615
15-1211,0.6718058554136118
15-1212,0.6453900241510766
15-1221,0.6173673433466845
15-1231,0.6995389160777316
15-1232,0.6555199079427482
15-1241,0.6532998903772501
15-1242,0.6447654885570304
15-1243,0.6586614402052541
15-1244,0.6745432415043561
15-1251,0.6389016441335005
15-1252,0.6544299592154434
15-1253,0.6863257312253968
15-1254,0.6767263324987398
15-1255,0.6311637015728334
15-1299,0.6563516786387633
15-2011,0.595397543058969
15-2021,0.675910372174629
15-2031,0.6394856016022895
15-2041,0.6613424729224269
15-2051,0.6755244674423844
15-2099,0.7061043104147036
17-1011,0.6194667260170412
17-1012,0.6369529605755275
17-1021,0.5902774743979985
17-1022,0.6046574612220318
17-2011,0.6042945817491151
17-2021,0.6175749994272208
17-2031,0.6877248419297048
17-2041,0.6311476285030952
17-2051,0.6415863178405226
17-2061,0.6968012773770441
17-2071,0.6432505466497728
17-2072,0.6771970058022733
17-2081,0.6647543577718799
17-2111,0.6520143538873006
17-2112,0.6680450137009054
17-2121,0.6634952574952511
17-2131,0.6394051597411905
17-2141,0.6664590407498517
17-2151,0.7089539490154425
17-2161,0.6229067851741754
17-2171,0.665757899728801
17-2199,0.6546295597671917
17-3011,0.6022125426399896
17-3012,0.5999538182818698
17-3013,0.5653326701956398
17-3021,0.65492875817335
17-3022,0.6034970935982968
17-3023,0.6589445574178396
17-3024,0.6909464986443523
17-3025,0.652454489769869
17-3026,0.6295007905136483
17-3027,0.6509612258950547
17-3028,0.663218881478462
17-3029,0.6975967033695903
17-3031,0.6249992030539935
19-1011,0.6721425165858537
19-1012,0.6447974066487838
19-1013,0.6282270038027281
19-1021,0.6683968643761539
19-1022,0.5927288924248773
19-1023,0.6106531029868947
19-1029,0.6547545591978592
19-1031,0.6416255280660652
19-1032,0.6303541967163039
19-1041,0.6249217269673463
19-1042,0.6192793591887574
19-2011,0.7028527830722491
19-2012,0.6557475877383906
19-2021,0.6368963559067545
19-2031,0.6995188623165614
19-2032,0.6696824126438666
19-2041,0.6175764910553232
19-2042,0.6061356409968612
19-2043,0.6238014566033997
19-2099,0.5840026701156419
19-3011,0.6446366618165176
19-3022,0.6558486491348965
19-3032,0.6401364620581022
19-3033,0.6084177804485393
19-3034,0.6518796150185199
19-3039,0.5571477937283431
19-3041,0.6827200680296983
19-3051,0.6991148471988811
19-3091,0.6078425308197952
19-3092,0.5763936084513206
19-3093,0.7107331595009002
19-3094,0.6933328147693585
