SOC,completion_rate_user
11-1011,0.9126461938564373
11-1021,0.8725982050907096
11-1031,0.9179714572186528
11-2011,0.9090463954068142
11-2021,0.9030295654786461
11-2022,0.8840865005576507
11-2032,0.9070111453770472
11-2033,0.8992395600024465
11-3012,0.9033577093209028
11-3013,0.8681933666160913
11-3021,0.8844175824329845
11-3031,0.8912142255655175
11-3051,0.8708058056172095
11-3061,0.8955012186055684
11-3071,0.9053307449371543
11-3111,0.8945666687740395
11-3121,0.8877536235777764
11-3131,0.8561088563008278
11-9013,0.9204531985099578
11-9021,0.9128044047105441
11-9031,0.9008283316791154
11-9032,0.906526523058518
11-9033,0.9033880641730836
11-9041,0.9128263126785647
11-9051,0.8829286259632998
11-9071,0.828365167585095
11-9072,0.9318975249151722
11-9081,0.878873642425862
11-9111,0.90322707867484
11-9121,0.9029837351855082
11-9131,0.8925331458755758
11-9141,0.9014629661764637
11-9151,0.8966705301093377
11-9161,0.9344102713145223
11-9171,0.8833734414235934
11-9179,0.9091562747507784
11-9199,0.8860813597264361
13-1011,0.9167972828333393
13-1020,0.8969815525607003
13-1031,0.8831340946879885
13-1032,0.8827452689493666
13-1041,0.8810426522008634
13-1051,0.8681090306194261
13-1071,0.8785193793894471
13-1074,0.8828255221787505
13-1075,0.9059048050043269
13-1081,0.876942845068549
13-1082,0.8932075300428022
13-1111,0.8831117041524468
13-1121,0.903245521002482
13-1131,0.9138832006159647
13-1141,0.8777300113904012
13-1151,0.8980583975859127
13-1161,0.887578855547162
13-1199,0.8912308738365231
13-2011,0.8728048750991257
13-2020,0.8723332879175504
13-2031,0.8384109727335713
13-2041,0.8452051140644723
13-2051,0.8606835127837377
13-2052,0.9048423311435856
13-2053,0.9224204497181627
13-2054,0.8677140825859487
13-2061,0.9200805383608919
13-2071,0.8782404795692329
13-2072,0.8884982641573494
13-2081,0.8965283029972538
13-2082,0.7961958127404272
13-2099,0.8676345264265701
15-1211,0.854169341314582
15-1212,0.9179068145917795
15-1221,0.8297287263343399
15-1231,0.9162476478418063
15-1232,0.8990402678667994
