IWA,scope_moderate_or_higher
4.A.1.a.1.I01,0.6409774436090225
4.A.1.a.1.I02,0.6095008051529791
4.A.1.a.1.I03,0.5277777777777778
4.A.1.a.1.I04,0.7403812623503429
4.A.1.a.1.I05,0.44609665427509293
4.A.1.a.1.I06,0.6860759493670886
4.A.1.a.1.I07,0.8563681664956764
4.A.1.a.1.I08,0.6056910569105691
4.A.1.a.1.I09,0.6370370370370371
4.A.1.a.1.I10,0.4838709677419355
4.A.1.a.1.I11,0.6688102893890675
4.A.1.a.1.I12,0.47368421052631576
4.A.1.a.1.I13,0.5698924731182796
4.A.1.a.1.I14,0.625
4.A.1.a.1.I15,0.6168768186226964
4.A.1.a.1.I16,0.562624254473161
4.A.1.a.1.I17,0.7078651685393258
4.A.1.a.1.I18,0.6526128266033254
4.A.1.a.1.I19,0.6277056277056277
4.A.1.a.1.I20,0.6874189364461738
4.A.1.a.1.I21,0.5683453237410072
4.A.1.a.1.I22,0.6597938144329897
4.A.1.a.1.I23,0.6666666666666666
4.A.1.a.2.I01,0.5245901639344263
4.A.1.a.2.I02,0.7083333333333334
4.A.1.a.2.I03,0.5930232558139535
4.A.1.a.2.I04,0.7272727272727273
4.A.1.a.2.I05,0.5833333333333334
4.A.1.a.2.I06,0.4383561643835616
4.A.1.a.2.I07,0.7142857142857143
4.A.1.a.2.I08,0.6449375866851595
4.A.1.a.2.I09,0.4358974358974359
4.A.1.a.2.I10,0.6595744680851063
4.A.1.a.2.I11,0.4
4.A.1.b.1.I01,0.6296296296296297
4.A.1.b.1.I02,0.591715976331361
4.A.1.b.2.I01,0.5
4.A.1.b.2.I02,0.5714285714285714
4.A.1.b.2.I03,0.5862068965517241
4.A.1.b.2.I04,0.6818181818181818
4.A.1.b.2.I05,0.5517241379310345
4.A.1.b.2.I06,0.5
4.A.1.b.2.I07,0.6363636363636364
4.A.1.b.2.I08,0.5581395348837209
4.A.1.b.2.I09,0.38461538461538464
4.A.1.b.2.I10,0.5421686746987951
4.A.1.b.2.I11,0.0
4.A.1.b.2.I12,0.6192893401015228
4.A.1.b.3.I01,0.5178571428571429
4.A.1.b.3.I02,0.6268656716417911
4.A.1.b.3.I03,0.6478102189781022
4.A.1.b.3.I04,0.625
4.A.1.b.3.I05,0.5714285714285714
4.A.2.a.1.I01,0.46464646464646464
4.A.2.a.1.I02,0.6746987951807228
4.A.2.a.1.I03,0.5862068965517241
4.A.2.a.1.I04,0.6774193548387096
4.A.2.a.1.I05,0.543859649122807
4.A.2.a.1.I06,0.4482758620689655
4.A.2.a.1.I07,0.7441860465116279
4.A.2.a.1.I08,0.6022727272727273
4.A.2.a.1.I09,0.5333333333333333
4.A.2.a.1.I10,0.6615384615384615
4.A.2.a.2.I01,0.5503597122302158
4.A.2.a.2.I02,0.7045454545454546
4.A.2.a.2.I03,0.6532066508313539
4.A.2.a.2.I04,0.52
4.A.2.a.2.I05,0.50920245398773
4.A.2.a.3.I01,0.5859375
4.A.2.a.3.I02,0.25
4.A.2.a.3.I03,0.4634146341463415
4.A.2.a.3.I04,0.375
4.A.2.a.4.I01,0.4888888888888889
4.A.2.a.4.I02,0.5879265091863517
4.A.2.a.4.I03,0.5855855855855856
4.A.2.a.4.I04,0.5911330049261084
4.A.2.a.4.I05,0.6
4.A.2.a.4.I06,0.5625
4.A.2.a.4.I07,0.6417910447761194
4.A.2.a.4.I08,0.6148936170212767
4.A.2.a.4.I09,0.6425269645608629
4.A.2.a.4.I10,0.5542168674698795
4.A.2.a.4.I11,0.5539358600583091
4.A.2.a.4.I12,0.6673511293634496
4.A.2.b.1.I01,0.7231182795698925
4.A.2.b.1.I02,0.6824925816023739
4.A.2.b.1.I03,0.25
4.A.2.b.1.I04,0.7910685805422647
4.A.2.b.1.I05,0.0
4.A.2.b.1.I06,0.42857142857142855
4.A.2.b.1.I07,0.8506650544135429
4.A.2.b.1.I08,0.576271186440678
4.A.2.b.1.I09,0.8344827586206897
4.A.2.b.1.I10,0.7634543178973717
4.A.2.b.1.I11,0.7560975609756098
4.A.2.b.2.I01,0.45454545454545453
4.A.2.b.2.I02,0.6820809248554913
4.A.2.b.2.I03,0.6666666666666666
4.A.2.b.2.I04,0.8275862068965517
4.A.2.b.2.I05,0.47368421052631576
4.A.2.b.2.I06,0.5
4.A.2.b.2.I07,0.6444444444444445
4.A.2.b.2.I08,0.7142857142857143
4.A.2.b.2.I09,0.5833333333333334
4.A.2.b.2.I10,0.25
4.A.2.b.2.I11,0.5454545454545454
4.A.2.b.2.I12,0.7316602316602316
4.A.2.b.2.I13,0.5078125
4.A.2.b.2.I14,0.25
4.A.2.b.2.I15,0.7288135593220338
4.A.2.b.2.I16,0.7241379310344828
4.A.2.b.2.I17,0.6666666666666666
4.A.2.b.2.I18,0.5001820167455406
4.A.2.b.2.I19,0.55
4.A.2.b.2.I20,0.6
4.A.2.b.2.I21,0.6024590163934426
4.A.2.b.2.I22,0.6399228012131238
