SOC,coverage_ai
11-1011,0.2574297949918485
11-1021,0.26733383318109905
11-1031,0.4333333333333333
11-2011,0.3567045117046333
11-2021,0.304461099259567
11-2022,0.3174729935065862
11-2032,0.3846153846153847
11-2033,0.2272727272727273
11-3012,0.1778468844717923
11-3013,0.14129371683998287
11-3021,0.24688254004424046
11-3031,0.2960001029418485
11-3051,0.24294593415172214
11-3061,0.17426983586750205
11-3071,0.36648836654934
11-3111,0.1909721753476089
11-3121,0.2502419751249903
11-3131,0.48900735700243003
11-9013,0.19261309955543396
11-9021,0.1890181263934439
11-9031,0.22244066616516794
11-9032,0.26834227192679483
11-9033,0.18632310797972096
11-9041,0.2843340031295
11-9051,0.12076188075901187
11-9071,0.3620215248772443
11-9072,0.45454545454545464
11-9081,0.34243720999864735
11-9111,0.33422866694532694
11-9121,0.21852262184361615
11-9131,0.2442114743451047
11-9141,0.23400999999474684
11-9151,0.19869422894833982
11-9161,0.31901897369470233
11-9171,0.30289973850436663
11-9179,0.27289979886190796
11-9199,0.2863536340574768
13-1011,0.4339156305981808
13-1020,0.361148931450925
13-1031,0.32727044872706157
13-1032,0.43595819106917666
13-1041,0.309303761446682
13-1051,0.628992260959453
13-1071,0.3822354951238782
13-1074,0.25469968211053046
13-1075,0.09623259640425995
13-1081,0.3557888762379122
13-1082,0.31818181818181823
13-1111,0.7479197712891354
13-1121,0.3111340118911268
13-1131,0.15599861716972016
13-1141,0.274926281799663
13-1151,0.38931611742198685
13-1161,0.6249124102237837
13-1199,0.407314068326785
13-2011,0.4892002561020007
13-2020,0.4764182161913765
13-2031,0.7642986833359666
13-2041,0.4069332017308404
13-2051,0.6774193548387095
13-2052,0.649224226708077
13-2053,0.23664630841927414
13-2054,0.5294117647058824
13-2061,0.35687884805250897
13-2071,0.5174256158841515
13-2072,0.4400553345162852
13-2081,0.5268664652617946
13-2082,0.7010558264488861
13-2099,0.525799910166155
15-1211,0.46299325335154556
15-1212,0.360209549737894
15-1221,0.21874016097526233
15-1231,0.34030077778050316
