SOC,completion_rate_ai
11-1011,0.8902723248335948
11-1021,0.894444391340557
11-1031,0.8417027077599513
11-2011,0.8964343666044597
11-2021,0.8693777962790665
11-2022,0.7409418319086544
11-2032,0.9101818270726314
11-2033,0.9043794939077516
11-3012,0.8617122359965136
11-3013,0.7558759364105573
11-3021,0.9239692152324487
11-3031,0.8149286596291904
11-3051,0.8073050010166316
11-3061,0.7455871412341507
11-3071,0.8030379647424615
11-3111,0.9097151856567979
11-3121,0.8543831990629682
11-3131,0.7905729600684229
11-9013,0.6178759638875477
11-9021,0.6467750522981962
11-9031,0.783384576798522
11-9032,0.8096032839385595
11-9033,0.8949942256725786
11-9041,0.7995407250754569
11-9051,0.7935770856298142
11-9071,0.7457381470592729
11-9072,0.8281865844517236
11-9081,0.8172429968098525
11-9111,0.8732682341516376
11-9121,0.8272362892700823
11-9131,0.8924030221011898
11-9141,0.8368533507669201
11-9151,0.7661393312689171
11-9161,0.8991515806288681
11-9171,0.7552559388364086
11-9179,0.8253423166275027
11-9199,0.8298633526773642
13-1011,0.7734204759964549
13-1020,0.8770484378223117
13-1031,0.7995423416032262
13-1032,0.8901236328529931
13-1041,0.8155794869818294
13-1051,0.8901208630402934
13-1071,0.8168181040916289
13-1074,0.6820678121811599
13-1075,0.7007160191220659
13-1081,0.8508224816650749
13-1082,0.8306816225929714
13-1111,0.9041825786570307
13-1121,0.775307139941615
13-1131,0.9053451480843021
13-1141,0.8390546223109165
13-1151,0.93289081351872
13-1161,0.8740435875323024
13-1199,0.8911225958061906
13-2011,0.8749596184709716
13-2020,0.8552632943443281
13-2031,0.8260513659678123
13-2041,0.8523764303987473
13-2051,0.8611805915070652
13-2052,0.8322415678903403
13-2053,0.5995466417229479
13-2054,0.8892326628255122
13-2061,0.8438910585619319
13-2071,0.8358393575299665
13-2072,0.7187346237674906
13-2081,0.7901698321834961
13-2082,0.7308440534637632
13-2099,0.8327795682017571
15-1211,0.8679007521903679
15-1212,0.9148906229701453
15-1221,0.8516244752041593
15-1231,0.920603530387535
15-1232,0.8955346980523563
15-1241,0.8803717369153344
15-1242,0.8986259328967521
15-1243,0.8596056851384979
15-1244,0.8730254161380614
15-1251,0.8411775438112392
15-1252,0.803126323232799
15-1253,0.9224910417151443
15-1254,0.865786289625405
15-1255,0.7838480778082842
15-1299,0.8439247432879635
15-2011,0.8580614547495299
15-2021,0.7088977904793514
15-2031,0.824061508573758
15-2041,0.7492648389141672
15-2051,0.8283671061071118
15-2099,0.8672919859196635
17-1011,0.6691006140195235
17-1012,0.6720505091800575
17-1021,0.6790940707970043
17-1022,0.8637153102555186
17-2011,0.7841619931011676
17-2021,0.7089533916540046
17-2031,0.8173421197669886
17-2041,0.7142970503301665
17-2051,0.7803436070951241
17-2061,0.7448702668454422
17-2071,0.6929901035905061
17-2072,0.7962448196900876
17-2081,0.9487968881419024
17-2111,0.8438294625960111
17-2112,0.84080120399442
17-2121,0.696947907665837
17-2131,0.7811495407112711
17-2141,0.8065139866632136
17-2151,0.794352556734456
17-2161,0.7966647338641089
17-2171,0.8417004010033617
17-2199,0.7319315154410414
17-3011,0.5936000193606433
17-3012,0.6921642058767823
17-3013,0.48940634952475354
17-3021,0.7872480229013271
17-3022,0.8013960894616323
17-3023,0.8779681222359604
17-3024,0.8702017011532415
17-3025,0.8750796035828502
17-3026,0.7623339742495308
17-3027,0.7941775777826523
17-3028,0.8867604515183161
17-3029,0.7557554110168017
17-3031,0.677009728059756
19-1011,0.8555895311577686
19-1012,0.8908808351908724
19-1013,0.8906054286321147
19-1021,0.8304655794485736
19-1022,0.7712741774797524
19-1023,0.7893357085082768
19-1029,0.8088273619301841
19-1031,0.8011930804964742
19-1032,0.7046797781152631
19-1041,0.8956200216835253
19-1042,0.8340436367617905
19-2011,0.80026995117772
19-2012,0.7175176762291658
19-2021,0.7951017858738683
19-2031,0.8259911943986665
19-2032,0.8144877696881024
19-2041,0.8798373406639716
19-2042,0.8471327646075822
19-2043,0.7740359332151127
19-2099,0.834176778721077
19-3011,0.8296084891341398
19-3022,0.7271836378558768
19-3032,0.8185052320926722
19-3033,0.8201225499587379
19-3034,0.8729632486977208
19-3039,0.8655944234784
19-3041,0.7897845798800291
19-3051,0.809502562210433
19-3091,0.8168897794297084
19-3092,0.6529040391350031
19-3093,0.8131371858175445
19-3094,0.8692251785304556
19-3099,0.86397041142553
19-4012,0.6828553562618126
19-4013,0.8664656339384114
19-4021,0.8254497729754736
19-4031,0.8733072729767596
19-4042,0.7676401573179852
19-4043,0.737743101512801
19-4044,0.8172235489878839
19-4051,0.7873749447720111
19-4061,0.7950173397582793
19-4071,0.5275848212724645
19-4092,0.7011619671741264
19-4099,0.8328347397668278
19-5011,0.8194237737196943
19-5012,0.6864613831158244
21-1012,0.8674805493424433
21-1013,0.785658197159566
21-1015,0.9296260868113079
21-1018,0.8480768993720005
21-1021,0.8058803616089365
21-1022,0.8162079316110653
21-1023,0.7831004635564905
21-1091,0.896341861518882
21-1092,0.7883568782300298
21-1093,0.764301511934461
21-1094,0.9238524475762638
21-2011,0.8721030074448304
21-2021,0.8665083215350036
23-1011,0.5836693525343466
23-1012,0.8824822870934741
23-1021,0.5406553802095676
23-1022,0.6025357132773107
23-1023,0.4115228987200836
23-2011,0.8020552124032684
23-2093,0.8699488674741941
25-1011,0.9010453152213511
25-1021,0.834021459963816
25-1022,0.8928337506688149
25-1031,0.8878071998438141
25-1032,0.833639369544119
25-1041,0.8360200090553839
25-1042,0.835711116802842
25-1043,0.8278226425115177
25-1051,0.8315865121224136
25-1052,0.7982972969654127
25-1053,0.8309488698404814
25-1054,0.8310601801598402
25-1061,0.848290348296562
25-1062,0.884413335724869
25-1063,0.8789999812435247
25-1064,0.8420064364278685
25-1065,0.869957377186045
25-1066,0.8239045841169018
25-1067,0.8492252996862811
25-1071,0.8474729817256499
25-1072,0.8411797155731027
25-1081,0.877589213631128
25-1082,0.8894327613804359
25-1111,0.8884658780956294
25-1112,0.890020257119511
25-1113,0.8282429910395808
25-1121,0.8844603603917203
25-1122,0.8873912399897148
25-1123,0.8686725508275246
25-1124,0.8872214342366911
25-1125,0.8813618265143087
