SOC,scope_moderate_or_higher_ai
11-1011,0.3998371213965912
11-1021,0.5331124259466458
11-1031,0.34970166579484047
11-2011,0.36710437052905504
11-2021,0.45544389275111746
11-2022,0.3858219891140834
11-2032,0.3788870745387976
11-2033,0.3834751806379136
11-3012,0.3814310138917998
11-3013,0.31383739567511587
11-3021,0.45024131522658994
11-3031,0.2975389076658356
11-3051,0.3886722177757653
11-3061,0.28970827610202177
11-3071,0.3652865466576689
11-3111,0.25687822383188097
11-3121,0.24707598696200853
11-3131,0.29549108816949743
11-9013,0.26659748813613265
11-9021,0.3444964736184919
11-9031,0.4028304790537527
11-9032,0.3839758034564524
11-9033,0.3928070852809693
11-9041,0.3566184960494292
11-9051,0.39429879957341457
11-9071,0.3797579774829889
11-9072,0.4303801176048254
11-9081,0.3959282362117301
11-9111,0.36806605851246654
11-9121,0.37769237164641695
11-9131,0.5459576460463728
11-9141,0.37518199826498805
11-9151,0.3441850311617098
11-9161,0.4005541143937918
11-9171,0.36974107910831117
11-9179,0.3575012436559085
11-9199,0.36633741632485634
13-1011,0.40370894823618586
13-1020,0.3420253837857872
13-1031,0.300605329565299
13-1032,0.29733324644766496
13-1041,0.37206267834679785
13-1051,0.39678570862592777
13-1071,0.3835502984211765
13-1074,0.3571998441231029
13-1075,0.39296289780141347
13-1081,0.3916769885994555
13-1082,0.4464937014257791
13-1111,0.41573754588633194
13-1121,0.42315183987202176
13-1131,0.301638475423382
13-1141,0.45914334529190926
13-1151,0.2855914553709803
13-1161,0.4166312715718997
13-1199,0.36706808918985967
13-2011,0.35211082093643004
13-2020,0.3612533969758064
13-2031,0.3831448842959016
13-2041,0.3411791937163869
13-2051,0.35572049461436317
13-2052,0.38721175103012007
13-2053,0.21667701519158566
13-2054,0.3454010736227358
13-2061,0.28771529683956554
13-2071,0.39946468093554144
13-2072,0.34121730857661237
13-2081,0.45098775164096216
13-2082,0.35729272649296917
13-2099,0.3297056856392666
15-1211,0.35422525840975055
15-1212,0.36534430123649564
15-1221,0.35689237510046595
15-1231,0.3344252879427719
15-1232,0.3074242554622289
15-1241,0.3562925656599961
15-1242,0.37028423360939394
15-1243,0.3801888027995542
15-1244,0.3275344705324206
15-1251,0.3032983770385923
15-1252,0.35168219010475094
15-1253,0.34366178450024093
15-1254,0.355728996314719
15-1255,0.3362813435856304
15-1299,0.3654655080198466
15-2011,0.2541576246028246
15-2021,0.40945926972648683
15-2031,0.3291111105739234
15-2041,0.3873606642059603
15-2051,0.38259797422074615
15-2099,0.3755036310068868
17-1011,0.3029348834474874
17-1012,0.3233315535758816
17-1021,0.2953348090755499
17-1022,0.3416639851012859
17-2011,0.3364819535057549
17-2021,0.32846756461455967
17-2031,0.37395037540295323
17-2041,0.3340966261843253
17-2051,0.34010387912230744
17-2061,0.36034824779153823
17-2071,0.33422067007602807
17-2072,0.3725868390949288
17-2081,0.41609616040642877
17-2111,0.3964610685402733
17-2112,0.36083569586455094
17-2121,0.34234400765041884
17-2131,0.314946461535805
17-2141,0.36395830670247914
17-2151,0.32544758327832524
17-2161,0.4370988998016232
17-2171,0.38579030380982265
17-2199,0.3414601289127863
17-3011,0.31427023366094
17-3012,0.33512043197820873
17-3013,0.28865960220596215
17-3021,0.30001172232499673
17-3022,0.3345612515988005
17-3023,0.2955641576033553
17-3024,0.3131556707097682
17-3025,0.31038790983368386
17-3026,0.3055972334071354
17-3027,0.30458711355290113
17-3028,0.3019415496026927
17-3029,0.2591007524622903
17-3031,0.3308005540294963
19-1011,0.3254400040259494
19-1012,0.3572774245636917
19-1013,0.3679357088739858
19-1021,0.3584444341739614
19-1022,0.2768630049838623
19-1023,0.300221033268158
19-1029,0.35758331359943185
19-1031,0.3891426610729469
19-1032,0.33454389881730406
19-1041,0.4077924566387264
19-1042,0.35534838250375483
19-2011,0.35603121456129594
19-2012,0.33455977163067924
19-2021,0.39947735358925734
19-2031,0.3002674272617949
19-2032,0.3403095481052664
19-2041,0.39368100853786636
19-2042,0.3353186641858124
19-2043,0.31304291956578695
19-2099,0.354269462656779
19-3011,0.3836784416780946
19-3022,0.31875104186792746
19-3032,0.32744296467046385
19-3033,0.3089398865932251
19-3034,0.36351344840640754
